Date : 2021-04-15 00:36:26
Directory : g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend
Total : 429 files,  91695 codes, 33967 comments, 18207 blanks, all 143869 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\pkg_resources\py31compat.py                                        | Python     |         15 |          3 |          6 |         24 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\__init__.py                                             | Python     |        125 |         56 |         48 |        229 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\_deprecation_warning.py                                 | Python     |          1 |          6 |          1 |          8 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\_vendor\__init__.py                                     | Python     |          0 |          0 |          1 |          1 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\_vendor\packaging\__about__.py                          | Python     |         13 |          3 |          6 |         22 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\_vendor\packaging\__init__.py                           | Python     |          9 |          3 |          3 |         15 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\_vendor\packaging\_compat.py                            | Python     |         13 |         10 |          8 |         31 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\_vendor\packaging\_structures.py                        | Python     |         41 |          3 |         25 |         69 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\_vendor\packaging\markers.py                            | Python     |        202 |         25 |         75 |        302 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\_vendor\packaging\requirements.py                       | Python     |         80 |         16 |         32 |        128 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\_vendor\packaging\specifiers.py                         | Python     |        375 |        262 |        138 |        775 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\_vendor\packaging\utils.py                              | Python     |          5 |          4 |          6 |         15 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\_vendor\packaging\version.py                            | Python     |        212 |         95 |         87 |        394 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\_vendor\pyparsing.py                                    | Python     |      2,835 |      2,367 |        541 |      5,743 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\_vendor\six.py                                          | Python     |        615 |         88 |        166 |        869 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\archive_util.py                                         | Python     |        100 |         49 |         25 |        174 |
| g:\MyClasses\DataBaseSystem\HITSZ-DB\DB-Exp3\backend\venv\Lib\site-packages\setuptools\build_meta.py                                           | Python     |        143 |         63 |         52 |        258 |
